Round,Category,Tier,Variable,Unit,Definition
2,CCS,3,Carbon Sequestration|CCS|Biomass|Industrial Processes|EInt Mfg|Food products,Mt CO2/yr,total CO2 emissions sequestered from non-combustion biomass use in food product production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Biomass|Industrial Processes|EInt Mfg|Glass,Mt CO2/yr,total CO2 emissions sequestered from non-combustion biomass use in glass production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Biomass|Industrial Processes|EInt Mfg|Iron and steel,Mt CO2/yr,total CO2 emissions sequestered from non-combustion biomass use in iron and steel production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Biomass|Industrial Processes|EInt Mfg|Other,Mt CO2/yr,total CO2 emissions sequestered from non-combustion biomass use in OTHER production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Biomass|Industrial Processes|EInt Mfg|Paper,Mt CO2/yr,total CO2 emissions sequestered from non-combustion biomass use in paper production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Enhanced Weathering,Mt CO2/yr,total CO2 sequestered through enhanced weathering. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy,Mt CO2/yr,"total carbon dioxide emissions captured from fossil fuel use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as NEGATIVE numbers"
2,CCS,1,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Mt CO2/yr,"total CO2 emissions sequestered from fossil fuel combustion in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean. Report as a NEGATIVE value"
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry|EInt Mfg,Mt CO2/yr,total CO2 emissions sequestered from fossil combustion in energy intensive manufacturing. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry|EInt Mfg|Aluminum,Mt CO2/yr,total CO2 emissions sequestered from fossil combustion in aluminum. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry|EInt Mfg|Bulk chemicals,Mt CO2/yr,total CO2 emissions sequestered from fossil combustion in bulk chemicals. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry|EInt Mfg|Cement and Lime,Mt CO2/yr,total CO2 emissions sequestered from fossil combustion in cement and lime. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry|EInt Mfg|Food products,Mt CO2/yr,total CO2 emissions sequestered from fossil combustion in food products. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry|EInt Mfg|Glass,Mt CO2/yr,total CO2 emissions sequestered from fossil combustion in glass. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry|EInt Mfg|Iron and steel,Mt CO2/yr,total CO2 emissions sequestered from fossil combustion in iron and steel. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry|EInt Mfg|Other,Mt CO2/yr,total CO2 emissions sequestered from fossil combustion in other energy intensive industries. Report as a NEGATIVE value
