model,scenario,region,variable,unit,year,value,datasrc
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2085,228.3883715,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2090,231.5729418,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2095,234.1473281,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2100,236.1195853,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2010,0,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2015,0,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2020,0.81,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2025,0.4,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2030,0.54,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2035,0.38,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2040,0.17,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2045,0.47,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2050,0.96,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2055,1.86,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2060,2.63,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2065,3.4,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2070,0.89,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2075,1.73,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2080,1.79,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2085,2.63,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2090,3.11,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2095,3.11,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass,GW/yr,2100,1.4,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2010,0,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2015,0,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2020,0,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2025,0,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2030,0.05,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2035,0.04,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2040,0.05,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2045,0.03,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2050,0.08,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2055,0.17,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2060,0.27,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2065,0.38,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2070,0.11,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2075,0.23,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2080,0.25,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2085,0.38,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2090,0.48,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2095,0.49,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,2100,0.23,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2010,0,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2015,0,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2020,0.81,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2025,0.4,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2030,0.49,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2035,0.34,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2040,0.12,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2045,0.44,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2050,0.89,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2055,1.69,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2060,2.36,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2065,3.01,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2070,0.78,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2075,1.51,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2080,1.54,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2085,2.25,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2090,2.63,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2095,2.62,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,2100,1.17,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Gas,GW/yr,2010,0,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Gas,GW/yr,2015,0,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Gas,GW/yr,2020,15.67,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Gas,GW/yr,2025,1.41,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Gas,GW/yr,2030,3.35,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Gas,GW/yr,2035,2.12,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Gas,GW/yr,2040,1.24,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Gas,GW/yr,2045,1.71,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Capacity Additions|Electricity|Gas,GW/yr,2050,2.89,emf37_usacanmex.csv
