scenario,model,variable,unit,year,value,region
IRA,RIO-REPEAT,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,NA,United States
Reference,RIO-REPEAT,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,NA,United States
IRA,EPS-EI,Emissions|CO2|Other,Mt CO2/yr,2030,11.99862,United States
Reference,EPS-EI,Emissions|CO2|Other,Mt CO2/yr,2030,71.0221,United States
IRA,GCAM-CGS,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
Reference,GCAM-CGS,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
IRA,Haiku-RFF,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Other,Mt CO2/yr,2030,0,United States
Reference,MARKAL-NETL,Emissions|CO2|Other,Mt CO2/yr,2030,0,United States
IRA,NEMS-RHG,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
Reference,NEMS-RHG,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
IRA,ReEDS-NREL,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
Reference,REGEN-EPRI,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
IRA,RIO-REPEAT,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
Reference,RIO-REPEAT,Emissions|CO2|Other,Mt CO2/yr,2030,NA,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1380.345127,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1401.480757,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1357.179642,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1464.786887,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1404.46,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1403.91,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1492.660848,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1511.199533,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1499.167405,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1532.151585,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1520,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,2030,1598,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,511.954,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,550.902,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,446.2489341,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,504.0387208,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,273.55,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,274.45,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,561.914416,United States
