"model","scenario","unit","region","category","year","value","value_2005","percent diff 2005"
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,792.497027889211,2400.1,66.9806663101866
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,781.7242,2400.1,67.4295154368568
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,719.7337,2400.1,70.0123453189451
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,837.5529,2400.1,65.1034165243115
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,792.4751,2400.1,66.9815799341694
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,831.998710072543,2400.1,65.3348314623331
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,784.368180921919,2400.1,67.3193541551636
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,836.4162,2400.1,65.1507770509562
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,792.2504,2400.1,66.9909420440815
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,826.1101,2400.1,65.5801799925003
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,775.6386,2400.1,67.6830715386859
"GCAM-PNNL","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1234.722,2400.1,48.5553935252698
"GCAM-PNNL","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,1182.894,2400.1,50.7148035498521
"Haiku-RFF","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,852.658725492053,2400.1,64.4740333531081
"Haiku-RFF","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,767.701065402758,2400.1,68.0137883670365
"Haiku-RFF","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,675.210223643002,2400.1,71.8674128726719
"Haiku-RFF","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,666.917523473785,2400.1,72.2129276499402
"Haiku-RFF","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,902.000745494878,2400.1,62.4182015126504
"Haiku-RFF","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,815.747686691477,2400.1,66.0119292241374
"Haiku-RFF","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1282.5776456571,2400.1,46.5614913688138
"Haiku-RFF","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,1174.26339683437,2400.1,51.0743970320249
"IPM-EPA","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,971.719363965523,2400.1,59.5133801105986
"IPM-EPA","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,608.299102727081,2400.1,74.6552600838681
"IPM-EPA","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1303.58284422178,2400.1,45.6863112277913
"IPM-EPA","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,1247.28769086048,2400.1,48.0318448872764
"IPM-NRDC","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,827.389198560903,2400.1,65.5268864396941
"IPM-NRDC","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,772.508012550513,2400.1,67.8135072475933
"IPM-NRDC","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1075.92232861268,2400.1,55.1717708173543
"IPM-NRDC","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,1079.88005163251,2400.1,55.0068725622886
"MARKAL-NETL","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,1232.67,2400.1,48.6408899629182
"MARKAL-NETL","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,749.4,2400.1,68.7763009874589
"MARKAL-NETL","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1379.59,2400.1,42.5194783550685
"MARKAL-NETL","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,1430.05,2400.1,40.4170659555852
"NEMS-EIA","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,768.311584,2400.1,67.9883511520353
"NEMS-EIA","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,714.001099,2400.1,70.2511937419274
"NEMS-EIA","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1177.160889,2400.1,50.9536732219491
"NEMS-EIA","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,1100.493042,2400.1,54.1480337485938
"NEMS-OP","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,660.642334,2400.1,72.4743829840423
"NEMS-OP","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,417.400726,2400.1,82.6090277071789
"NEMS-OP","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1040.891113,2400.1,56.6313439856673
"NEMS-OP","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,958.780945,2400.1,60.0524584392317
"NEMS-OP","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,429.341614,2400.1,82.1115114370235
"NEMS-OP","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,274.357727,2400.1,88.5689043373193
"NEMS-RHG","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,482.81984665288,2400.1,79.883344583439
"NEMS-RHG","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,588.535589412373,2400.1,75.4787054950888
"NEMS-RHG","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,979.598572044581,2400.1,59.1850934525819
"NEMS-RHG","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,906.244227830616,2400.1,62.2413971155112
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,999.666254194768,2400.1,58.3489748679318
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,500.03751964597,2400.1,79.1659714326082
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,1062.41927635461,2400.1,55.7343745529515
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,309.212628521459,2400.1,87.1166772833857
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,1155.62116148555,2400.1,51.8511244745823
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,950.894070439873,2400.1,60.3810645206503
"REGEN-EPRI","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1125.0574146029,2400.1,53.1245608681763
"REGEN-EPRI","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,1097.15035473422,2400.1,54.2873065816333
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,741,2400.1,69.1262864047331
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,370,2400.1,84.5839756676805
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,676,2400.1,71.834506895546
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,324,2400.1,86.5005624765635
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,694,2400.1,71.084538144244
"RIO-REPEAT","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,337,2400.1,85.9589183784009
"RIO-REPEAT","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,981,2400.1,59.1267030540394
"RIO-REPEAT","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,775,2400.1,67.7096787633849
"ReEDS-NRELr","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,227.9,2400.1,90.5045623099037
"ReEDS-NRELr","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,225.2,2400.1,90.6170576225991
"ReEDS-NRELr","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,617.7,2400.1,74.263572351152
"ReEDS-NRELr","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,664.2,2400.1,72.3261530769551
"ReEDS-NRELr","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,387.6,2400.1,83.8506728886296
"ReEDS-NRELr","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,326.4,2400.1,86.4005666430565
"ReEDS-NREL","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,413.513524771282,2400.1,82.77098767671
"ReEDS-NREL","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,323.38378502023,2400.1,86.5262370309475
"ReEDS-NRELr","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,332.8,2400.1,86.133911087038
"ReEDS-NREL","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,214.766785564764,2400.1,91.0517567782691
"ReEDS-NREL","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,185.874064997164,2400.1,92.2555699763691
"ReEDS-NRELr","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,463.9,2400.1,80.6716386817216
"ReEDS-NREL","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,928.605215817616,2400.1,61.3097281022617
"ReEDS-NREL","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,717.786998610836,2400.1,70.0934544972778
"ReEDS-NRELr","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,513.5,2400.1,78.6050581225782
"ReEDS-NRELr","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1238.2,2400.1,48.410482896546
"ReEDS-NREL","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1238.16547546738,2400.1,48.4119213588025
"ReEDS-NREL","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,1165.17798641427,2400.1,51.4529400269043
"ReEDS-NRELr","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,994.6,2400.1,58.5600599975001
"ReEDS-NRELr","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,996.2,2400.1,58.4933961084955
"ReEDS-NRELr","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1312.6,2400.1,45.3106120578309
"ReEDS-NRELr","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1274.6,2400.1,46.8938794216908
"ReEDS-NRELr","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1189.3,2400.1,50.4478980042498
"ReEDS-NRELr","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1118.5,2400.1,53.3977750927045
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,432.2378221,2400.1,81.990841127453
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,294.1613104,2400.1,87.7437894087746
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,763.7320001,2400.1,68.1791591975334
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,664.7557448,2400.1,72.3029980084163
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,616.834498,2400.1,74.2996334319403
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,488.0122266,2400.1,79.6670044331486
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,610.5185662,2400.1,74.5627862922378
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,488.6738995,2400.1,79.6394358776718
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,698.2013332,2400.1,70.9094898879213
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,577.0663645,2400.1,75.9565699554185
"USREP-ReEDS","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1154.603142,2400.1,51.8935401858256
"USREP-ReEDS","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,1060.287391,2400.1,55.823199408358
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,394.8322234,2400.1,83.5493428023832
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,276.5247851,2400.1,88.4786140119162
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,484.0228703,2400.1,79.8332206866381
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,352.3706364,2400.1,85.3185018790884
"EPS-EI","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1417.94385151708,1863.3,23.9014731113035
"EPS-EI","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1229.5350411901,1863.3,34.0130391676005
"EPS-EI","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1395.60832115092,1863.3,25.1001813368259
"EPS-EI","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1212.31555758701,1863.3,34.9371782543334
"EPS-EI","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1427.24662116377,1863.3,23.4022099949677
"EPS-EI","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1249.9751316535,1863.3,32.9160558335478
"EPS-EI","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1462.17510201961,1863.3,21.5276604937686
"EPS-EI","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1338.94240705854,1863.3,28.1413402533926
"GCAM-CGS","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1396.9307216309,1863.3,25.0292104529113
"GCAM-CGS","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1310.87256817385,1863.3,29.6477986274972
"GCAM-CGS","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1504.65588515461,1863.3,19.2477923493475
"GCAM-CGS","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1363.27993729408,1863.3,26.8351882523439
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1486.69406546327,1863.3,20.2117712948385
