"figure_num","model","scenario","unit","variable","label","year","value"
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,75.2380544058286
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,44.3796598557456
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Gas|w/ CCS","Gas w/ CCS",2035,77.1585762013537
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,1341.45619300444
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2035,328.647411698551
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2035,660.33521898521
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2035,773.930125967347
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2035,1500.27211381362
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,37.7478542292045
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,3.78669732774218
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,554.070012194223
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Gas|w/ CCS","Gas w/ CCS",2030,24.402361354912
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,1791.1448987784
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2030,304.925015062312
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2030,628.470695080102
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2030,451.739292925444
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2030,712.337556936127
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,38.9014195535043
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,3.78669732774218
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,465.895141419457
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Gas|w/ CCS","Gas w/ CCS",2035,24.402361354912
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,1882.80422741639
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2035,324.506154260833
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2035,486.512353872468
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2035,661.022573821366
"E.18.GenerationbyModel","IPM-EPA","No IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2035,919.444573409493
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,40.3484238786919
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,135.279879049891
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,198.300770441975
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,1649.93089763344
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2030,319.548791782413
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2030,677.937217941764
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2030,369.65358722766
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2030,890.310027867553
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,40.3418685703315
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,135.279879048427
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,143.308880059943
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,1653.96847788993
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2035,316.090086754977
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2035,75.805570277415
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2035,683.148522037825
"E.18.GenerationbyModel","IPM-NRDC","IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2035,1368.21605541467
"E.18.GenerationbyModel","IPM-NRDC","No IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,41.7797483192902
"E.18.GenerationbyModel","IPM-NRDC","No IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,16.9673120010657
"E.18.GenerationbyModel","IPM-NRDC","No IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,361.752485657287
"E.18.GenerationbyModel","IPM-NRDC","No IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,1941.5601020572
"E.18.GenerationbyModel","IPM-NRDC","No IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2030,313.158461973304
