"variable","unit","model","year","value","version","figure_num","label"
"Capital Cost","Capital Costs (2020$/kW)","REGEN-EPRI","2030",532.8937062,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","REGEN-EPRI","2035",499.5878495,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2025",715.65,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2030",482.45,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2035",432.19,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2020",1727.234445,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2025",1005.200615,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2030",679.9886512,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2035",637.4893605,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2020",1727.234445,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2025",1103.976822,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2030",894.6921166,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2035",839.2185893,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2020",1727.234445,"Conservative","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2025",1312.257623,"Conservative","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2030",1173.725763,"Conservative","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2035",1173.725763,"Conservative","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2025",960.7947829,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Utility-Scale Solar PV"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2030",735.5072246,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Utility-Scale Solar PV"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Mod","2035",702.7371567,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Utility-Scale Solar PV"
"Capital Cost","Capital Costs (2020$/kW)","OP-NEMS-Adv","2025",902.5370414,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","Utility-Scale Solar PV"
