"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EIA","Historic","TWh",2012,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Nuclear","United States",769.314543322418,"stackbar",14,"Hist Generation Mix",0,"Nuclear","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2012,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Oil|w/o CCS","United States",23.1890383974548,"stackbar",14,"Hist Generation Mix",0,"Oil","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2012,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Other","United States",31.7199331501713,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2012,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Solar","United States",4.32658104884838,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2012,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Wind","United States",140.818645196767,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2013,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",40.0266677704962,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2013,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",1581.08038315372,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2013,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",1124.81113487072,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2013,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",15.7743313513102,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2013,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Hydro","United States",268.559551319402,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2013,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Nuclear","United States",788.999340036253,"stackbar",14,"Hist Generation Mix",0,"Nuclear","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2013,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Oil|w/o CCS","United States",27.1638540292885,"stackbar",14,"Hist Generation Mix",0,"Oil","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2013,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Other","United States",33.6826955290384,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2013,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Solar","United States",9.03542379693307,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2013,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Wind","United States",167.836100460641,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2014,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",42.3388056182755,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
