"figure_num","model","scenario","unit","variable","label","year","value"
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Hydro","Hydro",2035,79.074859
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2035,71.9516
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Other","Other",2035,32.78668
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Solar","Solar",2035,343.354136826447
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2035,51.6574509372035
"E.19.CapacitybyModel","Haiku-RFF","No IRA","GW","Capacity|Electricity|Wind","Wind",2035,314.196155362607
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,5.872379998
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,9.337881436
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,59.6102591935954
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Gas|w/ CCS","Gas w/ CCS",2030,6.661753637
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,514.796390737587
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,80.613700001
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2030,91.8614
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Other","Other",2030,6.9493
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Solar","Solar",2030,235.269081562904
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2030,91.05101338
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Wind","Wind",2030,236.470232779
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,5.872379998
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,10.689247485
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,33.3254917228582
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Gas|w/ CCS","Gas w/ CCS",2035,10.374812432
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,518.752681982584
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Hydro","Hydro",2035,84.9262
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2035,83.5765
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Other","Other",2035,6.9493
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Solar","Solar",2035,357.167709478357
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2035,121.211080591
"E.19.CapacitybyModel","IPM-EPA","IRA","GW","Capacity|Electricity|Wind","Wind",2035,398.72664887
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,5.894708546
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,0.535613579
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,111.293164238325
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Gas|w/ CCS","Gas w/ CCS",2030,3.281163734
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,539.428416941788
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,80.280200001
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2030,78.084596905
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Other","Other",2030,6.9493
