"model","scenario","year","value","variable","label","figure_num"
"GCAM-PNNL","IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"EPS-EI","IRA",2025,48.0468944,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"EPS-EI","IRA",2030,49.7629476,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"EPS-EI","IRA",2035,50.9993675,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-CGS","IRA",2025,57.1,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-CGS","IRA",2030,60.4,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-CGS","IRA",2035,61.6,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"NEMS-RHG","IRA",2025,47.1169044,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"NEMS-RHG","IRA",2030,46.9050764,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"NEMS-RHG","IRA",2035,47.708303,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","IRA",2025,48.27,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","IRA",2030,51.43,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","IRA",2035,55.11,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","IRA",2025,58.8511949724767,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","IRA",2030,57.8020548414923,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","IRA",2035,57.8356137508989,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2025,47.1043045545637,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2030,47.282460783095,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2035,47.9938245729432,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2025,56.5494599521116,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2030,61.5898624229554,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2035,65.5696328583436,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2025,57.858798735511,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2030,59.2362414934087,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2035,59.6524422751231,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2025,47.1004144131925,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2030,47.1232346145845,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2035,47.8518826452318,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2025,54.6592204268717,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2030,57.4808982800035,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2035,60.9478670227255,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2025,47.1835536,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2030,47.8457467,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2035,48.8584667,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2025,55.4,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
