"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EIA","Historic","Quads",2010,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",0.1268343836928,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2010,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",6.30310221517032,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2010,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",3.37010197818672,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2010,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",0.05192917229304,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2010,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Hydro","United States",0.88783368767352,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2010,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Nuclear","United States",2.75344040047608,"stackbar",14,"Hist Generation Mix",0,"Nuclear","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2010,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Oil|w/o CCS","United States",0.12645514123704,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2010,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Other","United States",0.10314715792752,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2010,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Solar","United States",0.00413606195856,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2010,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Wind","United States",0.32296103553168,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2011,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",0.12777921252936,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2011,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",5.9146018514604,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2011,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",3.45878772086232,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","Quads",2011,"EIA-IEA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",0.05225964930144,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
